No.,Time,Protocol,Length,Info,Label
63,25.019685,12,1294,25,3
68,25.019699,12,1294,25,3
69,25.019701,12,1294,25,3
72,25.019863,12,1294,25,3
154,0.682973,13,146,26,6
23,1.502964,10,478,21,malware
124,3.983841,10,86,24,5
78,25.019872,12,1294,25,3
74,25.019866,12,1294,25,3
130,3.985395,10,86,24,5
128,3.984879,10,86,24,5
42,8.937224,10,86,24,2
165,5.950482,14,714,27,6
36,3.887703,10,86,23,2
159,5.950482,14,714,27,6
88,25.027598,12,1294,25,3
28,8.717035,11,60,22,1
52,13.002069,12,470,25,3
20,1.502314,10,478,21,malware
109,0.000004,10,78,20,4
41,8.936968,10,86,23,2
121,3.983031,10,86,24,5
54,14.003825,12,462,25,3
118,0.000244,10,78,20,4
47,5.000874,12,462,25,3
79,25.019873,12,1294,25,3
16,1.50231,10,478,21,virus
21,1.502961,10,478,21,attack
64,25.019687,12,1294,25,3
75,25.019867,12,1294,25,3
106,0.000002,10,78,20,4
55,15.002397,12,470,25,3
142,3.988487,10,86,24,5
50,10.001652,12,470,25,3
3,1.501771,10,478,21,0
17,1.502311,10,478,21,0
11,1.501784,10,478,21,0
146,0.682973,13,146,26,6
100,25.04019,12,1294,25,3
81,25.019943,12,1294,25,3
61,25.01968,12,1294,25,3
80,25.019875,12,1294,25,3
104,0.000002,10,78,20,4
10,1.501783,10,478,21,0
138,3.987458,10,86,24,5
13,1.502307,10,478,21,0
141,3.98823,10,86,24,5
91,25.030719,12,1294,25,3
35,9.719783,11,60,22,1
60,19.003076,12,462,25,3
108,0.000003,10,78,20,4
9,1.501782,10,478,21,0
43,1.000244,12,470,25,3
14,1.502308,10,478,21,0
48,7.00118,12,470,25,3
163,5.950482,14,714,27,6
85,25.024439,12,1294,25,3
33,9.719781,11,60,22,1
62,25.019684,12,1294,25,3
161,5.950482,14,714,27,6
46,4.000715,12,462,25,3
92,25.030964,12,1294,25,3
162,0.682973,13,146,26,6
129,3.985131,10,86,24,5
112,0.000242,10,78,20,4
170,0.682973,13,146,26,6
73,25.019865,12,1294,25,3
57,17.002688,12,470,25,3
168,0.682973,13,146,26,6
4,1.501773,10,478,21,0
103,0.000002,10,78,20,4
53,13.00207,12,462,25,3
114,0.000243,10,78,20,4
123,3.983583,10,86,24,5
116,0.000243,10,78,20,4
76,25.019869,12,1294,25,3
24,8.717031,11,60,22,1
25,8.717033,11,60,22,1
93,25.030966,12,1294,25,3
18,1.502312,10,478,21,0
137,3.987202,10,86,24,5
2,1.50106,10,478,21,0
120,3.982776,10,86,24,5
102,0.000001,10,78,20,4
133,3.986157,10,86,24,5
29,8.717036,11,60,22,1
26,8.717034,11,60,22,1
143,3.988746,10,86,24,5
151,5.950482,14,714,27,6
171,5.950482,14,714,27,6
117,0.000244,10,78,20,4
94,25.033855,12,1294,25,3
97,25.037051,12,1294,25,3
8,1.501777,10,478,21,0
164,0.682973,13,146,26,6
6,1.501775,10,478,21,0
71,25.019861,12,1294,25,3
135,3.986691,10,86,24,5
59,19.003074,12,470,25,3
152,0.682973,13,146,26,6
95,25.03407,12,1294,25,3
70,25.019703,12,1294,25,3
82,25.021279,12,1294,25,3
131,3.985647,10,86,24,5
49,7.001182,12,462,25,3
19,1.502313,10,478,21,0
44,1.000246,12,462,25,3
107,0.000003,10,78,20,4
122,3.983318,10,86,24,5
156,0.682973,13,146,26,6
27,8.717034,11,60,22,1
39,3.937086,10,86,24,2
7,1.501776,10,478,21,0
37,3.890119,10,78,24,2
38,3.936877,10,86,23,2
87,25.024728,12,1294,25,3
45,4.000713,12,470,25,3
111,0.000242,10,78,20,4
40,6.794952,10,86,23,2
145,5.950482,14,714,27,6
160,0.682973,13,146,26,6
140,3.987964,10,86,24,5
125,3.984096,10,86,24,5
134,3.98643,10,86,24,5
158,0.682973,13,146,26,6
89,25.027919,12,1294,25,3
113,0.000242,10,78,20,4
147,5.950482,14,714,27,6
110,0.000241,10,78,20,4
101,0.000001,10,78,20,4
1,1.501058,10,478,21,0
132,3.985901,10,86,24,5
98,25.03731,12,1294,25,3
5,1.501774,10,478,21,0
58,17.002691,12,462,25,3
56,15.002399,12,462,25,3
99,25.037316,12,1294,25,3
15,1.502309,10,478,21,0
155,5.950482,14,714,27,6
157,5.950482,14,714,27,6
67,25.019697,12,1294,25,3
144,0.682973,13,146,26,6
127,3.984625,10,86,24,5
83,25.021599,12,1294,25,3
51,10.001654,12,462,25,3
65,25.019692,12,1294,25,3
149,5.950482,14,714,27,6
30,9.719778,11,60,22,1
86,25.024726,12,1294,25,3
126,3.984369,10,86,24,5
77,25.019871,12,1294,25,3
150,0.682973,13,146,26,6
115,0.000243,10,78,20,4
153,5.950482,14,714,27,6
167,5.950482,14,714,27,6
166,0.682973,13,146,26,6
136,3.986942,10,86,24,5
84,25.021601,12,1294,25,3
148,0.682973,13,146,26,6
22,1.502963,10,478,21,0
119,0.000244,10,78,20,4
34,9.719782,11,60,22,1
169,5.950482,14,714,27,6
66,25.019695,12,1294,25,3
139,3.987711,10,86,24,5
105,0.000002,10,78,20,4
96,25.034072,12,1294,25,3
32,9.719781,11,60,22,1
31,9.71978,11,60,22,1
12,1.501785,10,478,21,0
90,25.027927,12,1294,25,3
No.,Time,Protocol,Length,Info,Label
63,25.019685,12,1294,25,3
68,25.019699,12,1294,25,3
69,25.019701,12,1294,25,3
72,25.019863,12,1294,25,3
154,0.682973,13,146,26,6
23,1.502964,10,478,21,malware
124,3.983841,10,86,24,5
78,25.019872,12,1294,25,3
74,25.019866,12,1294,25,3
130,3.985395,10,86,24,5
128,3.984879,10,86,24,5
42,8.937224,10,86,24,2
165,5.950482,14,714,27,6
36,3.887703,10,86,23,2
159,5.950482,14,714,27,6
88,25.027598,12,1294,25,3
28,8.717035,11,60,22,1
52,13.002069,12,470,25,3
20,1.502314,10,478,21,mNo.,Time,Protocol,Length,Info,Label
63,25.019685,12,1294,25,3
68,25.019699,12,1294,25,3
69,25.019701,12,1294,25,3
72,25.019863,12,1294,25,3
154,0.682973,13,146,26,6
23,1.502964,10,478,21,malware
124,3.983841,10,86,24,5
78,25.019872,12,1294,25,3
74,25.019866,12,1294,25,3
130,3.985395,10,86,24,5
128,3.984879,10,86,24,5
42,8.937224,10,86,24,2
165,5.950482,14,714,27,6
36,3.887703,10,86,23,2
159,5.950482,14,714,27,6
88,25.027598,12,1294,25,3
28,8.717035,11,60,22,1
52,13.002069,12,470,25,3
20,1.502314,10,478,21,mNo.,Time,Protocol,Length,Info,Label
63,25.019685,12,1294,25,3
68,25.019699,12,1294,25,3
69,25.019701,12,1294,25,3
72,25.019863,12,1294,25,3
154,0.682973,13,146,26,6
23,1.502964,10,478,21,malware
124,3.983841,10,86,24,5
78,25.019872,12,1294,25,3
74,25.019866,12,1294,25,3
130,3.985395,10,86,24,5
128,3.984879,10,86,24,5
42,8.937224,10,86,24,2
165,5.950482,14,714,27,6
36,3.887703,10,86,23,2
159,5.950482,14,714,27,6
88,25.027598,12,1294,25,3
28,8.717035,11,60,22,1
52,13.002069,12,470,25,3
20,1.502314,10,478,21,mNo.,Time,Protocol,Length,Info,Label
63,25.019685,12,1294,25,3
68,25.019699,12,1294,25,3
69,25.019701,12,1294,25,3
72,25.019863,12,1294,25,3
154,0.682973,13,146,26,6
23,1.502964,10,478,21,malware
124,3.983841,10,86,24,5
78,25.019872,12,1294,25,3
74,25.019866,12,1294,25,3
130,3.985395,10,86,24,5
128,3.984879,10,86,24,5
42,8.937224,10,86,24,2
165,5.950482,14,714,27,6
36,3.887703,10,86,23,2
159,5.950482,14,714,27,6
88,25.027598,12,1294,25,3
28,8.717035,11,60,22,1
52,13.002069,12,470,25,3
20,1.502314,10,478,21,mNo.,Time,Protocol,Length,Info,Label
63,25.019685,12,1294,25,3
68,25.019699,12,1294,25,3
69,25.019701,12,1294,25,3
72,25.019863,12,1294,25,3
154,0.682973,13,146,26,6
23,1.502964,10,478,21,malware
124,3.983841,10,86,24,5
78,25.019872,12,1294,25,3
74,25.019866,12,1294,25,3
130,3.985395,10,86,24,5
128,3.984879,10,86,24,5
42,8.937224,10,86,24,2
165,5.950482,14,714,27,6
36,3.887703,10,86,23,2
159,5.950482,14,714,27,6
88,25.027598,12,1294,25,3
28,8.717035,11,60,22,1
52,13.002069,12,470,25,3
20,1.502314,10,478,21,mNo.,Time,Protocol,Length,Info,Label
63,25.019685,12,1294,25,3
68,25.019699,12,1294,25,3
69,25.019701,12,1294,25,3
72,25.019863,12,1294,25,3
154,0.682973,13,146,26,6
23,1.502964,10,478,21,malware
124,3.983841,10,86,24,5
78,25.019872,12,1294,25,3
74,25.019866,12,1294,25,3
130,3.985395,10,86,24,5
128,3.984879,10,86,24,5
42,8.937224,10,86,24,2
165,5.950482,14,714,27,6
36,3.887703,10,86,23,2
159,5.950482,14,714,27,6
88,25.027598,12,1294,25,3
28,8.717035,11,60,22,1
52,13.002069,12,470,25,3
20,1.502314,10,478,21,mNo.,Time,Protocol,Length,Info,Label
63,25.019685,12,1294,25,3
68,25.019699,12,1294,25,3
69,25.019701,12,1294,25,3
72,25.019863,12,1294,25,3
154,0.682973,13,146,26,6
23,1.502964,10,478,21,malware
124,3.983841,10,86,24,5
78,25.019872,12,1294,25,3
74,25.019866,12,1294,25,3
130,3.985395,10,86,24,5
128,3.984879,10,86,24,5
42,8.937224,10,86,24,2
165,5.950482,14,714,27,6
36,3.887703,10,86,23,2
159,5.950482,14,714,27,6
88,25.027598,12,1294,25,3
28,8.717035,11,60,22,1
52,13.002069,12,470,25,3
20,1.502314,10,478,21,mNo.,Time,Protocol,Length,Info,Label
63,25.019685,12,1294,25,3
68,25.019699,12,1294,25,3
69,25.019701,12,1294,25,3
72,25.019863,12,1294,25,3
154,0.682973,13,146,26,6
23,1.502964,10,478,21,malware
124,3.983841,10,86,24,5
78,25.019872,12,1294,25,3
74,25.019866,12,1294,25,3
130,3.985395,10,86,24,5
128,3.984879,10,86,24,5
42,8.937224,10,86,24,2
165,5.950482,14,714,27,6
36,3.887703,10,86,23,2
159,5.950482,14,714,27,6
88,25.027598,12,1294,25,3
28,8.717035,11,60,22,1
52,13.002069,12,470,25,3
20,1.502314,10,478,21,mNo.,Time,Protocol,Length,Info,Label
63,25.019685,12,1294,25,3
68,25.019699,12,1294,25,3
69,25.019701,12,1294,25,3
72,25.019863,12,1294,25,3
154,0.682973,13,146,26,6
23,1.502964,10,478,21,malware
124,3.983841,10,86,24,5
78,25.019872,12,1294,25,3
74,25.019866,12,1294,25,3
130,3.985395,10,86,24,5
128,3.984879,10,86,24,5
42,8.937224,10,86,24,2
165,5.950482,14,714,27,6
36,3.887703,10,86,23,2
159,5.950482,14,714,27,6
88,25.027598,12,1294,25,3
28,8.717035,11,60,22,1
52,13.002069,12,470,25,3
20,1.502314,10,478,21,mNo.,Time,Protocol,Length,Info,Label
63,25.019685,12,1294,25,3
68,25.019699,12,1294,25,3
69,25.019701,12,1294,25,3
72,25.019863,12,1294,25,3
154,0.682973,13,146,26,6
23,1.502964,10,478,21,malware
124,3.983841,10,86,24,5
78,25.019872,12,1294,25,3
74,25.019866,12,1294,25,3
130,3.985395,10,86,24,5
128,3.984879,10,86,24,5
42,8.937224,10,86,24,2
165,5.950482,14,714,27,6
36,3.887703,10,86,23,2
159,5.950482,14,714,27,6
88,25.027598,12,1294,25,3
28,8.717035,11,60,22,1
52,13.002069,12,470,25,3
20,1.502314,10,478,21,mNo.,Time,Protocol,Length,Info,Label
63,25.019685,12,1294,25,3
68,25.019699,12,1294,25,3
69,25.019701,12,1294,25,3
72,25.019863,12,1294,25,3
154,0.682973,13,146,26,6
23,1.502964,10,478,21,malware
124,3.983841,10,86,24,5
78,25.019872,12,1294,25,3
74,25.019866,12,1294,25,3
130,3.985395,10,86,24,5
128,3.984879,10,86,24,5
42,8.937224,10,86,24,2
165,5.950482,14,714,27,6
36,3.887703,10,86,23,2
159,5.950482,14,714,27,6
88,25.027598,12,1294,25,3
28,8.717035,11,60,22,1
52,13.002069,12,470,25,3
20,1.502314,10,478,21,mNo.,Time,Protocol,Length,Info,Label
63,25.019685,12,1294,25,3
68,25.019699,12,1294,25,3
69,25.019701,12,1294,25,3
72,25.019863,12,1294,25,3
154,0.682973,13,146,26,6
23,1.502964,10,478,21,malware
124,3.983841,10,86,24,5
78,25.019872,12,1294,25,3
74,25.019866,12,1294,25,3
130,3.985395,10,86,24,5
128,3.984879,10,86,24,5
42,8.937224,10,86,24,2
165,5.950482,14,714,27,6
36,3.887703,10,86,23,2
159,5.950482,14,714,27,6
88,25.027598,12,1294,25,3
28,8.717035,11,60,22,1
52,13.002069,12,470,25,3
20,1.502314,10,478,21,mNo.,Time,Protocol,Length,Info,Label
63,25.019685,12,1294,25,3
68,25.019699,12,1294,25,3
69,25.019701,12,1294,25,3
72,25.019863,12,1294,25,3
154,0.682973,13,146,26,6
23,1.502964,10,478,21,malware
124,3.983841,10,86,24,5
78,25.019872,12,1294,25,3
74,25.019866,12,1294,25,3
130,3.985395,10,86,24,5
128,3.984879,10,86,24,5
42,8.937224,10,86,24,2
165,5.950482,14,714,27,6
36,3.887703,10,86,23,2
159,5.950482,14,714,27,6
88,25.027598,12,1294,25,3
28,8.717035,11,60,22,1
52,13.002069,12,470,25,3
20,1.502314,10,478,21,mNo.,Time,Protocol,Length,Info,Label
63,25.019685,12,1294,25,3
68,25.019699,12,1294,25,3
69,25.019701,12,1294,25,3
72,25.019863,12,1294,25,3
154,0.682973,13,146,26,6
23,1.502964,10,478,21,malware
124,3.983841,10,86,24,5
78,25.019872,12,1294,25,3
74,25.019866,12,1294,25,3
130,3.985395,10,86,24,5
128,3.984879,10,86,24,5
42,8.937224,10,86,24,2
165,5.950482,14,714,27,6
36,3.887703,10,86,23,2
159,5.950482,14,714,27,6
88,25.027598,12,1294,25,3
28,8.717035,11,60,22,1
52,13.002069,12,470,25,3
20,1.502314,10,478,21,mNo.,Time,Protocol,Length,Info,Label
63,25.019685,12,1294,25,3
68,25.019699,12,1294,25,3
69,25.019701,12,1294,25,3
72,25.019863,12,1294,25,3
154,0.682973,13,146,26,6
23,1.502964,10,478,21,malware
124,3.983841,10,86,24,5
78,25.019872,12,1294,25,3
74,25.019866,12,1294,25,3
130,3.985395,10,86,24,5
128,3.984879,10,86,24,5
42,8.937224,10,86,24,2
165,5.950482,14,714,27,6
36,3.887703,10,86,23,2
159,5.950482,14,714,27,6
88,25.027598,12,1294,25,3
28,8.717035,11,60,22,1
52,13.002069,12,470,25,3
20,1.502314,10,478,21,mNo.,Time,Protocol,Length,Info,Label
63,25.019685,12,1294,25,3
68,25.019699,12,1294,25,3
69,25.019701,12,1294,25,3
72,25.019863,12,1294,25,3
154,0.682973,13,146,26,6
23,1.502964,10,478,21,malware
124,3.983841,10,86,24,5
78,25.019872,12,1294,25,3
74,25.019866,12,1294,25,3
130,3.985395,10,86,24,5
128,3.984879,10,86,24,5
42,8.937224,10,86,24,2
165,5.950482,14,714,27,6
36,3.887703,10,86,23,2
159,5.950482,14,714,27,6
88,25.027598,12,1294,25,3
28,8.717035,11,60,22,1
52,13.002069,12,470,25,3
20,1.502314,10,478,21,mNo.,Time,Protocol,Length,Info,Label
63,25.019685,12,1294,25,3
68,25.019699,12,1294,25,3
69,25.019701,12,1294,25,3
72,25.019863,12,1294,25,3
154,0.682973,13,146,26,6
23,1.502964,10,478,21,malware
124,3.983841,10,86,24,5
78,25.019872,12,1294,25,3
74,25.019866,12,1294,25,3
130,3.985395,10,86,24,5
128,3.984879,10,86,24,5
42,8.937224,10,86,24,2
165,5.950482,14,714,27,6
36,3.887703,10,86,23,2
159,5.950482,14,714,27,6
88,25.027598,12,1294,25,3
28,8.717035,11,60,22,1
52,13.002069,12,470,25,3
20,1.502314,10,478,21,mNo.,Time,Protocol,Length,Info,Label
63,25.019685,12,1294,25,3
68,25.019699,12,1294,25,3
69,25.019701,12,1294,25,3
72,25.019863,12,1294,25,3
154,0.682973,13,146,26,6
23,1.502964,10,478,21,malware
124,3.983841,10,86,24,5
78,25.019872,12,1294,25,3
74,25.019866,12,1294,25,3
130,3.985395,10,86,24,5
128,3.984879,10,86,24,5
42,8.937224,10,86,24,2
165,5.950482,14,714,27,6
36,3.887703,10,86,23,2
159,5.950482,14,714,27,6
88,25.027598,12,1294,25,3
28,8.717035,11,60,22,1
52,13.002069,12,470,25,3
20,1.502314,10,478,21,mNo.,Time,Protocol,Length,Info,Label
63,25.019685,12,1294,25,3
68,25.019699,12,1294,25,3
69,25.019701,12,1294,25,3
72,25.019863,12,1294,25,3
154,0.682973,13,146,26,6
23,1.502964,10,478,21,malware
124,3.983841,10,86,24,5
78,25.019872,12,1294,25,3
74,25.019866,12,1294,25,3
130,3.985395,10,86,24,5
128,3.984879,10,86,24,5
42,8.937224,10,86,24,2
165,5.950482,14,714,27,6
36,3.887703,10,86,23,2
159,5.950482,14,714,27,6
88,25.027598,12,1294,25,3
28,8.717035,11,60,22,1
52,13.002069,12,470,25,3
20,1.502314,10,478,21,m